# Glyph list created by Arkady Benediktov
# Some extra glyph names that were encountered
# ============================================== Ligatures from PTSerifPro
f_f;FB00
afii10048small;042E
afii10049small;042F
# ============================================== Small letters (small caps?)
Asmall;0041
Bsmall;0042
Csmall;0043
Dsmall;0044
Esmall;0045
Fsmall;0046
Gsmall;0047
Hsmall;0048
Ismall;0049
Jsmall;004A
Ksmall;004B
Lsmall;004C
Msmall;004D
Nsmall;004E
Osmall;004F
Psmall;0050
Qsmall;0051
Rsmall;0052
Ssmall;0053
Tsmall;0054
Usmall;0055
Vsmall;0056
Wsmall;0057
Xsmall;0058
Ysmall;0059
Zsmall;005A
# ============================================== Calligraphy
#Acal;0041
#Bcal;0042
#Ccal;0043
#Dcal;0044
#Ecal;0045
#Fcal;0046
#Gcal;0047
#Hcal;0048
#Ical;0049
#Jcal;004A
#Kcal;004B
#Lcal;004C
#Mcal;004D
#Ncal;004E
#Ocal;004F
#Pcal;0050
#Qcal;0051
#Rcal;0052
#Scal;0053
#Tcal;0054
#Ucal;0055
#Vcal;0056
#Wcal;0057
#Xcal;0058
#Ycal;0059
#Zcal;005A
# alt version
Acal;1D49C
Bcal;212C
Ccal;1D49E
Dcal;1D49F
Ecal;2130
Fcal;2131
Gcal;1D4A2
Hcal;210B
Ical;2110
Jcal;1D4A5
Kcal;1D4A6
Lcal;2112
Mcal;2133
Ncal;1D4A9
Ocal;1D4AA
Pcal;1D4AB
Qcal;1D4AC
Rcal;211B
Scal;1D4AE
Tcal;1D4AF
Ucal;1D4B0
Vcal;1D4B1
Wcal;1D4B2
Xcal;1D4B3
Ycal;1D4B4
Zcal;1D4B5
# ============================================== Accented cyrillic chars
afii10065.var.accented;0430
afii10066.var.accented;0431
afii10067.var.accented;0432
afii10068.var.accented;0433
afii10069.var.accented;0434
afii10070.var.accented;0435
afii10071.var.accented;0451
afii10072.var.accented;0436
afii10073.var.accented;0437
afii10074.var.accented;0438
afii10075.var.accented;0439
afii10076.var.accented;043A
afii10077.var.accented;043B
afii10078.var.accented;043C
afii10079.var.accented;043D
afii10080.var.accented;043E
afii10081.var.accented;043F
afii10082.var.accented;0440
afii10083.var.accented;0441
afii10084.var.accented;0442
afii10085.var.accented;0443
afii10086.var.accented;0444
afii10087.var.accented;0445
afii10088.var.accented;0446
afii10089.var.accented;0447
afii10090.var.accented;0448
afii10091.var.accented;0449
afii10092.var.accented;044A
afii10093.var.accented;044B
afii10094.var.accented;044C
afii10095.var.accented;044D
afii10096.var.accented;044E
afii10097.var.accented;044F
# ============================================== Override 'old style' glyph UVs
zerooldstyle;0030
oneoldstyle;0031
twooldstyle;0032
threeoldstyle;0033
fouroldstyle;0034
fiveoldstyle;0035
sixoldstyle;0036
sevenoldstyle;0037
eightoldstyle;0038
nineoldstyle;0039
# ---
zero.oldstyle;0030
one.oldstyle;0031
two.oldstyle;0032
three.oldstyle;0033
four.oldstyle;0034
five.oldstyle;0035
six.oldstyle;0036
seven.oldstyle;0037
eight.oldstyle;0038
nine.oldstyle;0039
# ---
zero.o;0030
one.o;0031
two.o;0032
three.o;0033
four.o;0034
five.o;0035
six.o;0036
seven.o;0037
eight.o;0038
nine.o;0039
# ---
T_h;00540068
t_t;00740074
# --- These seem to be small caps; found in HypatiaSansPro-Regular
a.a;0041
